Community Areas,numberOfTrips,duration,distance
37,710113,1340,2.01393467998234
38,671167,1340,1.85320388271873
29,563082,892,1.77650275297395
68,403000,1256,2.35376585717845
57,288806,1216,2.31203173113774
25,234039,1077,2.30263511727435
34,132198,1625,2.32674352083563
23,101276,1201,2.52994918887184
31,74768,1415,2.54148466634282
8,68382,1699,1.97666371791164
6,51405,907,1.98892554346092
1,41957,1471,1.8647362098944
76,40122,1543,2.95605030443859
46,31273,1043,2.56711006969166
33,30516,1406,2.41271035901074
10,26497,1419,2.13209693919895
0,22743,1462,2.10524766210892
35,14666,1429,2.0063087228959
58,12683,1719,2.46895788223396
9,12211,3505,1.56468471831071
16,11047,1735,2.61730489669465
5,8340,2725,2.29157764821201
22,7304,1452,3.24192072861662
14,5847,1164,2.43708041308835
20,5263,1772,2.43942915377243
4,4614,4654,2.17713913692594
32,3569,1654,2.43444392405005
24,3463,3209,2.98982036516566
39,2683,12613,1.97093682772487
7,2269,1267,1.78563759256032
13,2187,1664,2.84026607840565
30,1968,7605,3.0758078933584
28,1951,2088,3.06591617864423
59,1861,8412,2.59360525459733
56,1650,2302,3.35195576323882
26,1130,28189,3.63942190059835
67,1129,16620,1.67057089352175
66,1122,16524,1.8172836615514
40,782,8790,1.75377369421027
3,780,1109,2.65375215437239
21,700,1688,4.02325549642635
27,447,20409,2.42021723797303
42,383,8212,0.897828700511917
15,361,1836,3.77953446139204
65,247,50272,1.67299018677201
41,179,3222,2.20431408064501
